Date,Heure,S2OTemp,S2OHR
28/12/2017,04:00:01,1.6,94.3
28/12/2017,05:00:01,1.1,95.6
28/12/2017,06:00:01,0.8,97.9
28/12/2017,07:00:01,0.6,98
28/12/2017,08:00:01,0.4,98
28/12/2017,09:00:01,0.4,98.3
28/12/2017,10:00:01,1.3,97.5
28/12/2017,11:00:01,2.1,95.2
28/12/2017,12:00:01,5.4,82.4
28/12/2017,13:00:01,7.8,72.4
28/12/2017,14:00:01,6.9,69.6
28/12/2017,15:00:01,6.2,74.2
28/12/2017,16:00:01,6.4,75.5
28/12/2017,17:00:01,4.1,84.4
28/12/2017,18:00:01,3.1,88.4
28/12/2017,19:00:01,3,90.5
28/12/2017,20:00:01,2.9,91.6
28/12/2017,21:00:01,2.5,93.3
28/12/2017,22:00:01,1.9,95.2
28/12/2017,23:00:01,1.8,96.9
29/12/2017,00:00:01,1.6,99.2
29/12/2017,01:00:01,1.4,98.1
29/12/2017,02:00:01,0.8,101.2
29/12/2017,03:00:01,0.8,101.3
29/12/2017,04:00:01,0.1,101.9
29/12/2017,05:00:01,0.1,103.8
29/12/2017,06:00:01,0.3,103.8
29/12/2017,07:00:01,0.8,102.9
29/12/2017,08:00:01,0.5,102.8
29/12/2017,09:00:01,0.1,102.4
29/12/2017,10:00:01,0.8,102.9
29/12/2017,11:00:01,1.4,100.9
29/12/2017,12:00:01,1.8,99.6
29/12/2017,13:00:01,2.4,100.4
29/12/2017,14:00:01,3.6,99.2
29/12/2017,15:00:01,4.3,105.9
29/12/2017,16:00:01,5.6,105.3
29/12/2017,17:00:01,5.7,105.3
29/12/2017,18:00:01,5.9,96.3
29/12/2017,19:00:01,4.9,106.2
29/12/2017,20:00:01,5.1,95
29/12/2017,21:00:01,5.3,90.2
29/12/2017,22:00:01,4.5,94.5
29/12/2017,23:00:01,5,93.3
30/12/2017,00:00:01,5.1,92
30/12/2017,01:00:01,5.7,91.2
30/12/2017,02:00:01,6,96
30/12/2017,03:00:01,5.5,103
30/12/2017,04:00:01,5.8,103.5
30/12/2017,05:00:01,6.2,104.4
30/12/2017,06:00:01,6.9,105.2
30/12/2017,07:00:01,7.8,105.4
